recipient_type,number_of_forms_1042s,u_s_tax_withheld,total_u_s_source_income,interest_income,country,year,tax_haven,afchange,cayman,share_of_total_interest,share_of_total_income,share_of_total_forms,non_int_income,share_of_nonint_inc
Individuals,402517,70094,1510215,138176,Germany,2018,0,1,0,0.12224221610020294,0.15588241244371484,0.16295040727784726,1372039,0.16032572306364867
Corporations,28072,288872,26502581,7342602,Germany,2018,0,1,0,0.03242041781070223,0.058961769583541566,0.05519541165529215,19159979,0.08591658811186921
Individuals,71952,55305,282505,75126,Hong Kong,2018,1,1,0,0.06646283527344725,0.029159795742600664,0.02912822987465291,207379,0.024232684437699218
Corporations,4797,87153,2110855,1540187,Hong Kong,2018,1,1,0,0.006800519222833,0.004696136807742108,0.009431903309719167,570668,0.0025589718811604217
Individuals,70725,12062,137672,3952,Ireland,2018,0,1,0,0.003496274592027574,0.014210323355251478,0.02863150514071641,133720,0.015625471060276785
Corporations,25561,1271452,39614740,23722929,Ireland,2018,0,1,0,0.10474587481026813,0.088133120770083,0.05025826151755923,15891811,0.0712615697563485
Individuals,2789,703,15364,4958,Luxembourg,2018,0,1,0,0.004386267567629735,0.0015858519381579674,0.0011290670602680532,10406,0.0012159635944753234
Corporations,23424,1479876,41035289,30175623,Luxembourg,2018,0,1,0,0.13323700581323022,0.09129349533209757,0.046056473447334115,10859666,0.048696580030409754
Individuals,266647,252024,1322306,241473,Mexico,2018,0,1,0,0.2136275087451099,0.1364866918079868,0.10794634077421857,1080833,0.1262976724685323
Corporations,7251,190353,6456082,947027,Mexico,2018,0,1,0,0.0041814892075065346,0.014363205579730146,0.01425697954946293,5509055,0.02470353486925187
Individuals,471747,182444,2513405,141037,United Kingdom,2018,0,1,0,0.12477329950298405,0.25943036908525946,0.19097669361071112,2372368,0.27721632910803706
Corporations,47904,499519,120134553,34612841,United Kingdom,2018,0,1,0,0.15282903347279403,0.2672700380769617,0.09418926332057263,85521712,0.3834938287002247
Individuals,161572,49916,348930,19298,Australia,2019,0,1,0,0.01711275280505313,0.04293724576266494,0.0625145818477421,329632,0.04709826550612718
Corporations,17316,369860,8517966,3956185,Australia,2019,0,1,0,0.015034323892125698,0.016558324773094303,0.03259316702962861,4561781,0.018154287259367387
Individuals,6810,6168,42607,16821,Bermuda,2019,1,1,0,0.01491624079872519,0.005242963431662124,0.0026348891044433672,25786,0.0036843385179260372
Corporations,14782,371432,11621653,10149988,Bermuda,2019,1,1,0,0.03857206048078873,0.02259167326732764,0.027823527086623362,1471665,0.005856710166392667
Individuals,935,588,6867,4804,British Virgin Islands,2019,1,1,0,0.004260009559305381,8.450120845218815e-4,3.617652441489792e-4,2063,2.947642271962078e-4
Corporations,101501,306188,4976747,3209635,British Virgin Islands,2019,1,1,0,0.012197278986069374,0.009674444948421108,0.19105099599643877,1767112,0.0070324855286729515
Individuals,541952,182770,1817506,62269,Canada,2019,0,1,0,0.05521784663788234,0.22365145386501045,0.20968919529093857,1755237,0.25079063395598167
Corporations,80154,770819,51058658,20999512,Canada,2019,0,1,0,0.07980250291242202,0.09925442783433858,0.15087044987831208,30059146,0.1196248507447561
Individuals,2273,3312,51602,39272,Cayman Islands,2019,1,1,1,0.034824957413205855,0.006349834510775904,8.794571122466627e-4,12330,0.001761727058327311
Corporations,157267,2993325,144604406,107851364,Cayman Islands,2019,1,1,1,0.4098575619147096,0.28110076022472813,0.2960169553735622,36753042,0.14626420736190415
Individuals,403762,38861,1100777,253131,China,2019,0,1,0,0.22446721060710456,0.13545505568133728,0.15622145294981832,847646,0.12111280568393445
Corporations,3971,84080,3222885,2356475,China,2019,0,1,0,0.008955093958876267,0.006265060994177956,0.007474443651804991,866410,0.0034480077023400506
Individuals,99908,43992,385065,58038,France,2019,0,1,0,0.05146595229037587,0.04738380345513591,0.03865587381009221,327027,0.04672605958666711
Corporations,11585,63175,36211447,14404660,France,2019,0,1,0,0.05474069690774,0.07039249744947225,0.02180595056815936,21806787,0.08678335838608614
Individuals,401701,67362,1026223,99147,Germany,2019,0,1,0,0.08791989337561419,0.12628088487174877,0.15542402175389208,927076,0.13246187139706814
